'viper.py', 'viper/core/ui/console.py'
'modules/strings.py', 'viper/common/abstracts.py'
'modules/strings.py', 'viper/common/out.py'
'modules/strings.py', 'viper/core/session.py'
'modules/virustotal.py', 'json'
'modules/virustotal.py', 'os.py'
'modules/virustotal.py', 'urllib.py'
'modules/virustotal.py', 'urllib2.py'
'modules/virustotal.py', 'viper/common/abstracts.py'
'modules/virustotal.py', 'viper/common/out.py'
'modules/virustotal.py', 'viper/core/session.py'
'modules/yarascan.py', 'getopt.py'
'modules/yarascan.py', 'os.py'
'modules/yarascan.py', 'viper/common/abstracts.py'
'modules/yarascan.py', 'viper/common/out.py'
'modules/yarascan.py', 'viper/core/database.py'
'modules/yarascan.py', 'viper/core/session.py'
'modules/yarascan.py', 'viper/core/storage.py'
'viper/common/abstracts.py', 'viper/common/colors.py'
'viper/common/colors.py', 'os.py'
'viper/common/colors.py', 'sys'
'viper/common/objects.py', 'hashlib.py'
'viper/common/objects.py', 'os.py'
'viper/common/objects.py', 'subprocess.py'
'viper/common/out.py', 'viper/common/colors.py'
'viper/core/database.py', 'viper/common/objects.py'
'viper/core/database.py', 'viper/common/out.py'
'viper/core/plugins.py', 'inspect.py'
'viper/core/plugins.py', 'pkgutil.py'
'viper/core/plugins.py', 'modules'
'viper/core/plugins.py', 'viper/common/abstracts.py'
'viper/core/session.py', 'viper/common/objects.py'
'viper/core/session.py', 'viper/common/out.py'
'viper/core/storage.py', 'os.py'
'viper/core/ui/commands.py', 'getopt.py'
'viper/core/ui/commands.py', 'os.py'
'viper/core/ui/commands.py', 'viper/common/colors.py'
'viper/core/ui/commands.py', 'viper/common/out.py'
'viper/core/ui/commands.py', 'viper/core/database.py'
'viper/core/ui/commands.py', 'viper/core/plugins.py'
'viper/core/ui/commands.py', 'viper/core/session.py'
'viper/core/ui/commands.py', 'viper/core/storage.py'
'viper/core/ui/console.py', 'atexit.py'
'viper/core/ui/console.py', 'glob.py'
'viper/core/ui/console.py', 'os.py'
'viper/core/ui/console.py', 'viper/common/colors.py'
'viper/core/ui/console.py', 'viper/core/plugins.py'
'viper/core/ui/console.py', 'viper/core/session.py'
'viper/core/ui/console.py', 'viper/core/ui/commands.py'
